ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 82273, 0, 0, 0, 0, 120589,0,0,0,0, 121093, 0, 0, 0, 387.479,263954, 2.05724, 319.61, 302.938, 0, 0, 0, 1.69147, 352.393, 5.34373, 0, 0, 0, 0, 0, 0, 7.92384, 3196145, 0, 15972, 1736130
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,2,true,false,true,false,true,32,true,false,TPCC,false, 97884, 0, 0, 0, 0, 48278,0,0,0,0, 48850, 0, 0, 0, 155.535,653188, 2.26156, 89.4576, 76.2356, 0, 0, 0, 1.83395, 118.761, 6.5916, 0, 0, 0, 0, 0, 0, 7.49605, 3174795, 0, 15958, 1805043
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,4,true,false,true,false,true,32,true,false,TPCC,false, 56667, 0, 0, 0, 0, 24071,0,0,0,0, 24304, 0, 0, 0, 65.6717,1.31093e+06, 0.911271, 23.3869, 18.0276, 0, 0, 0, 1.61943, 41.1811, 3.51255, 0, 0, 0, 0, 0, 0, 1.00379, 2690343, 0, 13419, 854401
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,32,true,false,TPCC,false, 31594, 0, 0, 0, 0, 20698,0,0,0,0, 20784, 0, 0, 0, 59.2488,1.53196e+06, 0.539357, 17.1008, 12.8214, 0, 0, 0, 2.67186, 36.482, 1.47063, 0, 0, 0, 0, 0, 0, 0.566753, 2836469, 0, 13918, 560077
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,32,true,false,TPCC,false, 16242, 0, 0, 0, 0, 15248,0,0,0,0, 15262, 0, 0, 0, 41.4705,2.08401e+06, 0.286712, 7.66278, 5.7052, 0, 0, 0, 2.84977, 22.7734, 0.279176, 0, 0, 0, 0, 0, 0, 0.100405, 2700787, 0, 13508, 196007
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,32,true,false,true,false,true,32,true,false,TPCC,false, 12769, 0, 0, 0, 0, 14300,0,0,0,0, 14300, 0, 0, 0, 36.2376,2.22114e+06, 0.266781, 1.22759, 0.067777, 0, 0, 0, 4.98963, 15.2093, 0.056286, 0, 0, 0, 0, 0, 0, 1.8486e-05, 2515279, 0, 12768, 15
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,64,true,false,true,false,true,32,true,false,TPCC,false, 10042, 0, 0, 0, 0, 17051,0,0,0,0, 17051, 0, 0, 0, 33.9948,1.86252e+06, 0.256789, 0.95039, 0.0527567, 0, 0, 0, 8.82165, 12.3973, 0.0437995, 0, 0, 0, 0, 0, 0, 9.72e-06, 1978623, 0, 10042, 9
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,128,true,false,true,false,true,32,true,false,TPCC,false, 9914, 0, 0, 0, 0, 19953,0,0,0,0, 19954, 0, 0, 0, 39.6226,1.59156e+06, 0.299612, 0.927344, 0.0524261, 0, 0, 0, 17.1751, 12.2401, 0.0439702, 0, 0, 0, 0, 0, 0, 2.081e-06, 1970683, 0, 9911, 3
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 82573, 0, 0, 0, 0, 120715,0,0,0,0, 121214, 0, 0, 0, 387.916,263688, 2.04697, 320.077, 303.395, 0, 0, 0, 1.68627, 352.905, 5.36872, 0, 0, 0, 0, 0, 0, 7.81007, 3196517, 0, 16137, 1733683
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,2,true,false,true,false,true,32,true,false,TPCC,false, 101225, 0, 0, 0, 0, 46676,0,0,0,0, 47261, 0, 0, 0, 150.149,675118, 2.28789, 84.8819, 72.0952, 0, 0, 0, 1.81365, 113.603, 6.87328, 0, 0, 0, 0, 0, 0, 7.09562, 3167751, 0, 16048, 1802990
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,4,true,false,true,false,true,32,true,false,TPCC,false, 61638, 0, 0, 0, 0, 26256,0,0,0,0, 26507, 0, 0, 0, 78.1487,1.2019e+06, 1.08001, 28.3707, 21.357, 0, 0, 0, 1.82618, 50.1279, 3.80244, 0, 0, 0, 0, 0, 0, 1.39726, 2935206, 0, 14719, 958177
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,32,true,false,TPCC,false, 33661, 0, 0, 0, 0, 20232,0,0,0,0, 20316, 0, 0, 0, 59.8514,1.56702e+06, 0.55275, 17.173, 12.9451, 0, 0, 0, 2.17517, 36.8751, 1.57821, 0, 0, 0, 0, 0, 0, 0.540737, 2930876, 0, 14867, 562205
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,32,true,false,TPCC,false, 15681, 0, 0, 0, 0, 17119,0,0,0,0, 17135, 0, 0, 0, 44.9549,1.85635e+06, 0.31049, 8.71509, 6.38252, 0, 0, 0, 2.63143, 25.0606, 0.265758, 0, 0, 0, 0, 0, 0, 0.156815, 2607869, 0, 13100, 178784
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,32,true,false,true,false,true,32,true,false,TPCC,false, 13123, 0, 0, 0, 0, 14432,0,0,0,0, 14432, 0, 0, 0, 37.9922,2.20099e+06, 0.278393, 1.29209, 0.070279, 0, 0, 0, 5.71567, 16.0527, 0.0596771, 0, 0, 0, 0, 0, 0, 1.1577e-05, 2613141, 0, 13123, 12
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,64,true,false,true,false,true,32,true,false,TPCC,false, 10643, 0, 0, 0, 0, 16952,0,0,0,0, 16952, 0, 0, 0, 36.6767,1.87371e+06, 0.269518, 1.03265, 0.0572783, 0, 0, 0, 10.3704, 13.2537, 0.0471201, 0, 0, 0, 0, 0, 0, 6.186e-06, 2147546, 0, 10643, 6
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,128,true,false,true,false,true,32,true,false,TPCC,false, 9614, 0, 0, 0, 0, 21076,0,0,0,0, 21076, 0, 0, 0, 40.1431,1.50652e+06, 0.311529, 0.902686, 0.0504421, 0, 0, 0, 18.152, 12.014, 0.0418198, 0, 0, 0, 0, 0, 0, 2.702e-06, 1889882, 0, 9614, 3
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 81093, 0, 0, 0, 0, 122201,0,0,0,0, 122698, 0, 0, 0, 392.58,260507, 2.03357, 324.736, 307.885, 0, 0, 0, 1.69511, 357.753, 5.21187, 0, 0, 0, 0, 0, 0, 7.80815, 3195932, 0, 16217, 1717913
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,2,true,false,true,false,true,32,true,false,TPCC,false, 101596, 0, 0, 0, 0, 44846,0,0,0,0, 45415, 0, 0, 0, 144.418,702563, 2.22256, 81.3254, 69.0436, 0, 0, 0, 1.78012, 109.002, 6.88143, 0, 0, 0, 0, 0, 0, 6.73721, 3170717, 0, 15826, 1792282
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,4,true,false,true,false,true,32,true,false,TPCC,false, 63815, 0, 0, 0, 0, 26325,0,0,0,0, 26575, 0, 0, 0, 81.672,1.19884e+06, 1.12336, 29.4829, 22.0962, 0, 0, 0, 1.89398, 52.4235, 3.93831, 0, 0, 0, 0, 0, 0, 1.52347, 3059731, 0, 15408, 1021429
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,32,true,false,TPCC,false, 28425, 0, 0, 0, 0, 20525,0,0,0,0, 20607, 0, 0, 0, 54.1104,1.54503e+06, 0.487133, 15.6336, 11.8547, 0, 0, 0, 2.45825, 33.0892, 1.30208, 0, 0, 0, 0, 0, 0, 0.499433, 2612573, 0, 12949, 511476
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,32,true,false,TPCC,false, 16697, 0, 0, 0, 0, 16987,0,0,0,0, 17004, 0, 0, 0, 47.1169,1.87062e+06, 0.327297, 9.03589, 6.56283, 0, 0, 0, 3.05981, 26.3326, 0.294207, 0, 0, 0, 0, 0, 0, 0.158949, 2754305, 0, 13859, 177313
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,32,true,false,true,false,true,32,true,false,TPCC,false, 12621, 0, 0, 0, 0, 14451,0,0,0,0, 14451, 0, 0, 0, 36.0078,2.19751e+06, 0.273138, 1.21044, 0.0667001, 0, 0, 0, 4.66738, 15.1409, 0.0547369, 0, 0, 0, 0, 0, 0, 1.5941e-05, 2472739, 0, 12620, 15
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,64,true,false,true,false,true,32,true,false,TPCC,false, 11262, 0, 0, 0, 0, 15752,0,0,0,0, 15752, 0, 0, 0, 36.0179,2.01653e+06, 0.264293, 1.09589, 0.0605757, 0, 0, 0, 8.53118, 13.898, 0.0499481, 0, 0, 0, 0, 0, 0, 1.0186e-05, 2269721, 0, 11261, 10
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,128,true,false,true,false,true,32,true,false,TPCC,false, 9699, 0, 0, 0, 0, 20493,0,0,0,0, 20493, 0, 0, 0, 39.7282,1.54948e+06, 0.304492, 0.924524, 0.0514557, 0, 0, 0, 17.2234, 12.2115, 0.0425854, 0, 0, 0, 0, 0, 0, 1.19e-06, 1923686, 0, 9699, 1
